Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
IR_E3.1D				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_E3.1d	Parastagonospora nodorum IR_E3.1D
IR_E3.1B				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_E3.1b	Parastagonospora nodorum IR_E3.1B
IR_D2.1BB				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_D2.1bB	Parastagonospora nodorum IR_D2.1BB
IR_D2.1BA				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_D2.1bA	Parastagonospora nodorum IR_D2.1BA
IR_C3.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_C3.1a	Parastagonospora nodorum IR_C3.1A
IR_C1.2A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	leaf	Parastagonospora nodorum	SNIR05_C1.2a	Parastagonospora nodorum IR_C1.2A
AUS_1E6				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1E6	Parastagonospora nodorum AUS_1E6
IR_2.1A				Mohammad Razavi	2010	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	seeds	Parastagonospora nodorum	IR10_2.1a	Parastagonospora nodorum IR_2.1A
IR_6_1.1				Mohammad Razavi	2011	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	Elymus tauri	leaf	Parastagonospora nodorum	SN11IR_6_1.1	Parastagonospora nodorum IR_6_1.1
IR_A1_3.1A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	infected glume	Parastagonospora nodorum	SNIR05_A1_3.1a	Parastagonospora nodorum IR_A1_3.1A
IR_B4.2A				Mohammad Razavi	2005	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	wheat	infected glume	Parastagonospora nodorum	SNIR05_B4.2a	Parastagonospora nodorum IR_B4.2A
IR_2_1.1				Mohammad Razavi	2011	Iran	Asia	 Aliabad-e-Katul	 Golestan Province	Dactylus glomerata	leaf	Parastagonospora nodorum	SN11IR_2_1.1	Parastagonospora nodorum IR_2_1.1
CHI_21A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_21a	Parastagonospora nodorum CHI_21A
CHI_17A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_17a	Parastagonospora nodorum CHI_17A
CHI_13A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_13a	Parastagonospora nodorum CHI_13A
CHI_52A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_52a	Parastagonospora nodorum CHI_52A
CHI_35A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_35a	Parastagonospora nodorum CHI_35A
AUS_1E2				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1E2	Parastagonospora nodorum AUS_1E2
CHI_33A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_33a	Parastagonospora nodorum CHI_33A
CHI_31A				R. Wu	2001	China	Asia	 Louyan	 Fujian province	wheat	leaf	Parastagonospora nodorum	SNChi01_31a	Parastagonospora nodorum CHI_31A
